Date,Sui_x,Solana_x,Ethereum_x,Polygon PoS_x,Avalanche C-Chain_x,Price,Open,High,Low,Vol.,Change %,Sui_y,Solana_y,Ethereum_y,Near_x,Aptos - Daily Active Addresses,Avalanche C-Chain - Daily Active Addresses,Bitcoin - Daily Active Addresses,BNB Chain - Daily Active Addresses,Cardano - Daily Active Addresses,Ethereum - Daily Active Addresses,Flow - Daily Active Addresses,Fuse - Daily Active Addresses,Gnosis Chain - Daily Active Addresses,Injective - Daily Active Addresses,Internet Computer - Daily Active Addresses,Multiversx - Daily Active Addresses,Near - Daily Active Addresses,Polkadot - Daily Active Addresses,Sei Network - Daily Active Addresses,Solana - Daily Active Addresses,Stellar - Daily Active Addresses,Sui - Daily Active Addresses,TON - Daily Active Addresses,Tron - Daily Active Addresses,Avalanche C-Chain_y,Ethereum_x.1,Near_y,Polygon PoS_y,Solana_x.1,Aptos_x,Avalanche C-Chain_x.1,Ethereum_y.1,Near_x.1,Sui_x.1,Polygon PoS_x.1,Solana_y.1,TON_x,Aptos_y,Avalanche C-Chain_y.1,Ethereum_x.2,Sui_y.1,Polygon PoS_y.1,Solana_x.2,TON_y,Aptos,Avalanche C-Chain,Ethereum_y.2,Near_y.1,Sui,Polygon PoS,Solana_y.2,TON,Arbitrum,Avalanche,Base,BNB Chain,Ethereum,Optimism,Solana,Tron,Tron.1
2022-08-29,0.0,5854054387.329999,96119222897.94998,2617096062.67,2682457607.7200003,"4,031.25","4,024.00","4,064.00","4,006.75",1.96M,-0.70%,0.0,0.0,0.0,1938.278230244128,0.0,30511.571428571428,604922.2857142857,811742.2857142857,64047.28571428572,368060.8571428572,253307.57142857145,36851.71428571428,3797.428571428572,159.85714285714286,0.0,18132.28571428572,11655.0,3447.428571428572,0.0,637459.1428571428,31023.85714285714,0.0,1986.857142857143,1476074.4285714286,307.0,5295.0,349.0,7377.0,59.0,0.0,19.129682063714288,1561.7029855525711,4.219077085571429,0.0,0.0,31.632394170999994,1.4596417977142857,0.0,4109335183.321624,185044125152.2016,0.0,5120020242.833057,0.0,0.0,0.0,722924288.6844217,21671280812.552948,0.0,0.0,448172195.5284378,0.0,0.0,1354557565.24,2682457607.7200003,0.0,11187482882.240004,96119222897.94998,658744739.38,5854054387.329999,0.0,36493616734.23
2022-08-30,0.0,5825154025.947999,96124133886.77399,2616235256.598,2659779814.78,"3,987.50","4,035.75","4,072.75","3,964.50",2.56M,-1.09%,0.0,0.0,0.0,1987.2015604329201,0.0,30076.171428571426,608810.2571428571,830256.8571428572,63991.37142857143,367650.1428571429,234352.74285714288,36937.54285714286,3739.4571428571435,163.45714285714286,0.0,18296.371428571434,11520.0,3444.8857142857146,0.0,675578.3428571428,31700.257142857143,0.0,2107.885714285714,1473502.5142857144,304.4,5243.0,356.0,6710.2,56.8,0.0,19.224569106114288,1583.8259072546284,4.286348231742857,0.0,0.0,31.999359976999997,1.530470777,0.0,3842379022.5435085,174559850649.51605,0.0,5149579461.78944,0.0,0.0,0.0,649313632.8131776,22111149645.806026,0.0,0.0,500029075.2657351,0.0,0.0,1352330601.378,2659779814.78,0.0,11187757241.050001,96124133886.77399,659833580.656,5825154025.947999,0.0,36490185282.498
2022-08-31,0.0,5796253664.565999,96129044875.59799,2615374450.526,2637102021.84,"3,956.50","3,987.25","4,018.25","3,953.00",2.37M,-0.78%,0.0,0.0,0.0,2036.1248906217122,0.0,29640.77142857143,612698.2285714286,848771.4285714285,63935.45714285714,367239.42857142864,215397.9142857143,37023.37142857143,3681.4857142857145,167.05714285714285,0.0,18460.457142857147,11385.0,3442.3428571428576,0.0,713697.5428571429,32376.657142857144,0.0,2228.9142857142856,1470930.6,301.8,5191.0,363.0,6043.4,54.6,0.0,19.319456148514288,1605.9488289566855,4.353619377914286,0.0,0.0,32.366325783,1.6012997562857143,0.0,3575422861.7653933,164075576146.8305,0.0,5179138680.745822,0.0,0.0,0.0,575702976.9419334,22551018479.059105,0.0,0.0,551885955.0030324,0.0,0.0,1350103637.516,2637102021.84,0.0,11188031599.86,96129044875.59799,660922421.932,5796253664.565999,0.0,36486753830.766
2022-09-02,0.0,5767353303.184,96133955864.422,2614513644.454,2614424228.9,"4,577.75","4,519.00","4,585.00","4,517.25",1.38M,1.45%,0.0,0.0,0.0,2085.048220810504,0.0,29205.371428571427,616586.2,867286.0,63879.54285714286,366828.7142857143,196443.08571428573,37109.2,3623.514285714286,170.65714285714287,0.0,18624.54285714286,11250.0,3439.8,0.0,751816.7428571428,33053.05714285714,0.0,2349.942857142857,1468358.6857142856,299.2,5139.0,370.0,5376.6,52.4,0.0,19.414343190914284,1628.0717506587428,4.420890524085714,0.0,0.0,32.733291589,1.6721287355714285,0.0,3308466700.987278,153591301644.14496,0.0,5208697899.702205,0.0,0.0,0.0,502092321.0706893,22990887312.312183,0.0,0.0,603742834.7403297,0.0,0.0,1347876673.654,2614424228.9,0.0,11188305958.669998,96133955864.422,662011263.208,5767353303.184,0.0,36483322379.034004
2022-09-03,0.0,5738452941.802,96138866853.246,2613652838.382,2591746435.96,"4,275.25","4,153.00","4,298.25","4,152.00",1.66M,2.55%,0.0,0.0,0.0,2133.971550999296,0.0,28769.97142857143,620474.1714285715,885800.5714285714,63823.62857142857,366418.00000000006,177488.25714285715,37195.02857142857,3565.542857142857,174.25714285714287,0.0,18788.628571428573,11115.0,3437.257142857143,0.0,789935.9428571428,33729.45714285714,0.0,2470.9714285714285,1465786.7714285713,296.6,5087.0,377.0,4709.8,50.2,0.0,19.509230233314284,1650.1946723607998,4.488161670257143,0.0,0.0,33.100257395,1.742957714857143,0.0,3041510540.209162,143107027141.45944,0.0,5238257118.6585865,0.0,0.0,0.0,428481665.1994452,23430756145.56526,0.0,0.0,655599714.477627,0.0,0.0,1345649709.792,2591746435.96,0.0,11188580317.479998,96138866853.246,663100104.484,5738452941.802,0.0,36479890927.302
2022-09-05,0.0,5709552580.42,96143777842.07,2612792032.31,2569068643.02,"3,987.50","4,087.25","4,099.00","3,970.00",2.14M,-3.20%,0.0,0.0,0.0,2182.894881188088,0.0,28334.571428571428,624362.1428571428,904315.1428571428,63767.71428571428,366007.28571428574,158533.42857142858,37280.857142857145,3507.5714285714284,177.85714285714286,0.0,18952.714285714286,10980.0,3434.714285714286,0.0,828055.1428571428,34405.857142857145,0.0,2592.0,1463214.857142857,294.0,5035.0,384.0,4043.0,48.0,0.0,19.604117275714284,1672.317594062857,4.555432816428572,0.0,0.0,33.467223201,1.813786694142857,0.0,2774554379.431047,132622752638.7739,0.0,5267816337.614969,0.0,0.0,0.0,354871009.32820106,23870624978.81834,0.0,0.0,707456594.2149243,0.0,0.0,1343422745.93,2569068643.02,0.0,11188854676.289995,96143777842.07,664188945.76,5709552580.42,0.0,36476459475.57
2022-09-06,0.0,5697010883.152,96202084197.738,2609807678.464,2552714005.612,"4,016.25","4,116.00","4,144.25","4,014.75",2.02M,-2.38%,0.0,0.0,0.0,3494.2244738337245,0.0,28371.171428571426,621450.0857142857,885403.2571428572,62744.114285714284,376933.4285714286,157784.57142857145,37385.485714285714,3459.428571428571,177.4857142857143,0.0,18730.17142857143,33360.91428571429,3398.0857142857144,0.0,802705.8571428572,34414.14285714286,0.0,2570.2285714285713,1413814.5142857141,291.6,5174.2,371.0,4691.2,49.0,0.0,19.422528347971426,1641.568635778343,4.520368791228571,0.0,0.0,33.47584818837143,1.7901036381714286,0.0,2910554691.679891,143077642589.7779,0.0,5307769132.309353,0.0,0.0,0.0,409373931.1196865,25202922829.273674,400252.0803176448,0.0,689094992.3002875,0.0,0.0,1349275425.864,2552714005.612,0.0,11188859398.755997,96202084197.738,667174680.356,5697010883.152,0.0,36513412607.266
2022-09-08,0.0,5684469185.884001,96260390553.406,2606823324.618,2536359368.204,"4,124.50","4,148.50","4,155.00","4,113.00",1.28M,-0.42%,0.0,0.0,0.0,4805.554066479361,0.0,28407.77142857143,618538.0285714286,866491.3714285714,61720.514285714286,387859.5714285714,157035.7142857143,37490.114285714284,3411.285714285714,177.11428571428573,0.0,18507.628571428573,55741.828571428574,3361.457142857143,0.0,777356.5714285715,34422.42857142857,0.0,2548.457142857143,1364414.1714285715,289.2,5313.4,358.0,5339.4,50.0,0.0,19.24093942022857,1610.8196774938287,4.485304766028571,0.0,0.0,33.484473175742856,1.7664205822,0.0,3046555003.9287353,153532532540.7819,0.0,5347721927.003736,0.0,0.0,0.0,463876852.91117185,26535220679.72901,800504.1606352896,0.0,670733390.3856506,0.0,0.0,1355128105.798,2536359368.204,0.0,11188864121.221998,96260390553.406,670160414.9519999,5684469185.884001,0.0,36550365738.962
2022-09-09,0.0,5671927488.616,96318696909.074,2603838970.7720003,2520004730.7959995,"4,067.25","4,010.25","4,077.25","4,005.75",1.68M,1.54%,0.0,0.0,0.0,6116.8836591249965,0.0,28444.371428571427,615625.9714285714,847579.4857142858,60696.91428571428,398785.7142857143,156286.85714285716,37594.74285714286,3363.142857142857,176.74285714285713,0.0,18285.085714285713,78122.74285714286,3324.828571428571,0.0,752007.2857142857,34430.71428571429,0.0,2526.6857142857143,1315013.8285714285,286.8,5452.6,345.0,5987.6,51.0,0.0,19.059350492485713,1580.0707192093143,4.450240740828571,0.0,0.0,33.49309816311429,1.7427375262285714,0.0,3182555316.17758,163987422491.7859,0.0,5387674721.698119,0.0,0.0,0.0,518379774.7026573,27867518530.184345,1200756.2409529344,0.0,652371788.4710138,0.0,0.0,1360980785.7319999,2520004730.7959995,0.0,11188868843.687998,96318696909.074,673146149.548,5671927488.616,0.0,36587318870.658005
2022-09-11,0.0,5659385791.348001,96377003264.742,2600854616.926,2503650093.3879995,"3,755.50","3,832.50","3,848.75","3,750.00",1.89M,-2.08%,0.0,0.0,0.0,7428.213251770633,0.0,28480.97142857143,612713.9142857143,828667.6,59673.31428571428,409711.85714285716,155538.0,37699.37142857143,3315.0,176.37142857142857,0.0,18062.542857142857,100503.65714285715,3288.2,0.0,726658.0,34439.0,0.0,2504.914285714286,1265613.4857142859,284.4,5591.8,332.0,6635.8,52.0,0.0,18.87776156474286,1549.3217609248002,4.415176715628571,0.0,0.0,33.50172315048572,1.7190544702571429,0.0,3318555628.426424,174442312442.78986,0.0,5427627516.392502,0.0,0.0,0.0,572882696.4941427,29199816380.63968,1601008.3212705792,0.0,634010186.5563769,0.0,0.0,1366833465.666,2503650093.3879995,0.0,11188873566.154,96377003264.742,676131884.1439999,5659385791.348001,0.0,36624272002.354004
